Motifs
"[123, 144, 172, 198, 343, 364, 392, 544, 566, 602, 624, 746, 767, 796, 818, 946, 993, 1015, 1038, 1186, 1208, 1230]"
"[0, 21, 44, 81, 222, 248, 273, 426, 462, 486, 507, 653, 674, 695, 720, 857, 884, 918, 1076, 1098, 1120, 1143]"
"[102, 295, 317, 967, 1164]"
