Motifs
"[130, 242, 348, 448, 497, 581, 641, 743, 819, 885, 947, 1110, 1147, 1186, 1223]"
"[25, 270, 315, 371, 417, 471, 546, 604, 707, 769, 841, 911, 971, 1013, 1072]"
"[67, 163, 863, 1043]"
