Motifs
"[39, 103, 136, 217, 350, 427, 490, 576, 606, 656, 732, 959, 1045]"
"[67, 188, 240, 373, 395, 458, 549, 633, 707, 778, 985, 1013, 1124]"
"[277, 753, 799, 1145, 1214]"
