Motifs
"[73, 160, 204, 260, 307, 418, 482, 584, 635, 679, 789, 833, 889, 936, 1047, 1181]"
"[138, 182, 238, 285, 396, 461, 530, 562, 613, 767, 811, 868, 981, 1025, 1135, 1159]"
"[12, 108, 350, 374, 508, 710, 737, 1068, 1092, 1239]"
