Motifs
"[18, 167, 261, 297, 390, 464, 538, 576, 686, 724, 835, 983, 1057, 1112, 1168]"
"[201, 237, 424, 498, 609, 646, 757, 794, 869, 943, 1017, 1091, 1146, 1240]"
"[84, 141, 345, 1217]"
