Motifs
"[1, 206, 243, 279, 328, 458, 517, 556, 608, 629, 726, 749, 901, 933, 1026, 1070, 1165, 1226]"
"[25, 65, 93, 114, 162, 301, 357, 382, 434, 490, 700, 788, 813, 848, 991, 1100, 1144, 1191]"
"[138, 183, 413, 583, 650, 677, 879, 970, 1049, 1121]"
