Motifs
"[0, 442, 613, 800, 982, 1060, 1189, 1235]"
"[36, 138, 181, 338, 390, 488, 533, 644, 749, 1024, 1103, 1139]"
"[61, 203, 463, 566, 667, 771, 951, 1082]"
