Motifs
"[12, 58, 89, 134, 216, 262, 294, 326, 732, 795, 983, 1030, 1131, 1173]"
"[169, 237, 377, 417, 447, 474, 548, 612, 681, 753, 842, 940, 1100, 1216]"
"[350, 522, 585, 642, 816, 896, 1073, 1152, 1237]"
