Motifs
"[28, 103, 178, 253, 328, 403, 479, 554, 629, 704, 779, 855, 930, 1005, 1080, 1155, 1230]"
"[51, 126, 201, 276, 351, 427, 502, 577, 652, 727, 802, 877, 952, 1028, 1103, 1178]"
"[5, 80, 155, 230, 305, 380, 456, 531, 606, 681, 756, 832, 907, 982, 1057, 1132, 1207]"
