Motifs
"[98, 268, 395, 566, 650, 735, 831, 1040, 1089, 1152, 1196, 1239]"
"[119, 160, 205, 290, 333, 416, 486, 517, 588, 672, 757, 931]"
"[22, 53, 183, 229, 447, 614, 693, 787, 808, 852, 894, 958, 979, 1001, 1068, 1129, 1173, 1217]"
