iter	Passed	Remaining
404	8185	12025
405	8199	11995
406	8213	11966
407	8228	11939
408	8242	11909
409	8256	11880
410	8269	11851
411	8283	11822
412	8297	11793
413	8311	11764
414	8324	11734
415	8338	11705
416	8352	11677
417	8366	11649
418	8386	11628
419	8399	11599
420	8412	11570
421	8425	11540
422	8439	11511
423	8452	11482
424	8466	11455
425	8480	11426
426	8493	11398
427	8507	11369
428	8520	11340
429	8534	11313
430	8547	11284
431	8560	11255
432	8573	11226
433	8587	11199
434	8601	11171
435	8614	11143
436	8627	11115
437	8641	11088
438	8656	11062
439	8669	11034
440	8682	11005
441	8698	10981
442	8713	10956
443	8728	10930
444	8743	10905
445	8757	10878
446	8771	10851
447	8784	10824
448	8797	10796
449	8811	10770
450	8825	10742
451	8838	10716
452	8852	10689
453	8866	10663
454	8880	10636
455	8894	10610
456	8907	10584
457	8922	10559
458	8935	10532
459	8949	10505
460	8964	10480
461	8978	10455
462	8991	10428
463	9005	10402
464	9018	10376
465	9031	10349
466	9045	10323
467	9059	10298
468	9072	10272
469	9086	10245
470	9098	10219
471	9112	10193
472	9125	10166
473	9138	10141
474	9151	10114
475	9164	10088
476	9177	10062
477	9190	10036
478	9205	10012
479	9219	9987
480	9233	9962
481	9247	9938
482	9261	9913
483	9278	9891
484	9291	9866
485	9304	9840
486	9317	9815
487	9331	9790
488	9345	9765
489	9358	9740
490	9372	9716
491	9386	9692
492	9400	9667
493	9413	9642
494	9427	9618
495	9441	9593
496	9454	9568
497	9468	9544
498	9481	9519
499	9497	9497
500	9512	9474
501	9525	9449
502	9539	9426
503	9554	9403
504	9568	9379
505	9582	9355
506	9595	9330
507	9608	9306
508	9622	9281
509	9636	9258
510	9648	9233
511	9661	9208
512	9674	9184
513	9687	9160
514	9700	9135
515	9714	9112
516	9727	9088
517	9741	9064
518	9754	9039
519	9768	9016
520	9781	8993
521	9795	8969
522	9809	8946
523	9822	8922
524	9835	8899
525	9849	8875
526	9863	8852
527	9876	8829
528	9890	8805
529	9902	8781
530	9915	8757
531	9929	8734
532	9942	8711
533	9959	8691
534	9971	8667
535	9984	8642
536	9997	8619
537	10010	8596
538	10025	8574
539	10039	8551
540	10052	8528
541	10066	8506
542	10079	8483
543	10092	8459
544	10106	8437
545	10119	8414
546	10133	8392
547	10147	8369
548	10161	8347
549	10174	8324
550	10188	8302
551	10201	8279
552	10216	8257
553	10230	8235
554	10243	8213
555	10259	8192
556	10273	8170
557	10287	8148
558	10301	8126
559	10315	8104
560	10332	8085
561	10347	8064
562	10360	8042
563	10375	8020
564	10388	7998
565	10401	7975
566	10414	7953
567	10428	7931
568	10440	7908
569	10453	7885
570	10466	7863
571	10480	7841
572	10493	7820
573	10507	7798
574	10519	7775
575	10533	7753
576	10547	7732
577	10560	7710
578	10572	7687
579	10585	7665
580	10598	7643
581	10612	7621
582	10625	7600
583	10638	7578
584	10652	7556
585	10665	7534
586	10678	7513
587	10691	7491
588	10705	7470
589	10719	7449
590	10733	7427
591	10747	7406
592	10762	7386
593	10779	7367
594	10793	7346
595	10806	7325
596	10820	7304
597	10835	7284
598	10849	7263
599	10863	7242
600	10877	7221
601	10890	7200
602	10903	7178
603	10918	7158
604	10932	7137
605	10946	7117
606	10959	7095
607	10973	7075
608	10986	7053
609	11000	7033
610	11013	7011
611	11026	6990
612	11040	6969
613	11053	6948
614	11066	6927
615	11079	6906
616	11092	6885
617	11106	6865
618	11119	6844
619	11133	6823
620	11147	6803
621	11161	6782
622	11174	6762
623	11190	6743
624	11204	6722
625	11218	6702
626	11233	6682
627	11246	6662
628	11260	6641
629	11275	6622
630	11290	6602
631	11304	6582
632	11318	6562
633	11332	6542
634	11346	6522
635	11360	6501
636	11374	6481
637	11388	6461
638	11401	6441
639	11415	6420
640	11427	6400
641	11441	6380
642	11455	6360
643	11468	6339
644	11481	6319
645	11496	6300
646	11510	6279
647	11528	6262
648	11542	6242
649	11556	6222
650	11570	6202
651	11583	6182
652	11597	6162
653	11611	6143
654	11625	6123
655	11639	6103
656	11651	6083
657	11665	6063
658	11679	6043
659	11692	6023
660	11706	6003
661	11719	5983
662	11732	5963
663	11745	5943
664	11760	5924
665	11773	5904
666	11788	5885
667	11802	5866
668	11820	5848
669	11834	5829
670	11848	5809
671	11861	5789
672	11874	5769
673	11889	5750
674	11902	5730
675	11915	5711
676	11929	5691
677	11942	5671
678	11956	5652
679	11969	5632
680	11983	5613
681	11997	5594
682	12010	5574
683	12024	5555
684	12038	5535
685	12051	5516
686	12065	5497
687	12080	5478
688	12094	5459
689	12108	5440
690	12123	5421
691	12137	5402
692	12150	5382
693	12164	5363
694	12177	5344
695	12192	5325
696	12206	5306
697	12218	5286
698	12232	5267
699	12245	5248
700	12261	5230
701	12275	5210
702	12289	5191
703	12304	5173
704	12317	5154
705	12330	5134
706	12343	5115
707	12357	5096
708	12370	5077
709	12384	5058
710	12397	5039
711	12410	5020
712	12423	5000
713	12436	4981
714	12449	4962
715	12463	4943
716	12477	4924
717	12490	4905
718	12504	4887
719	12519	4868
720	12533	4849
721	12546	4831
722	12560	4812
723	12573	4793
724	12590	4775
725	12603	4756
726	12617	4738
727	12630	4719
728	12644	4700
729	12659	4682
730	12673	4663
731	12687	4645
732	12700	4626
733	12714	4607
734	12727	4588
735	12741	4570
736	12755	4551
737	12770	4533
738	12784	4515
739	12799	4497
740	12812	4478
741	12826	4459
742	12839	4441
743	12853	4422
744	12866	4403
745	12879	4385
746	12893	4366
747	12905	4348
748	12918	4329
749	12932	4310
750	12945	4292
751	12958	4273
752	12972	4255
753	12985	4236
754	12998	4218
755	13011	4199
756	13025	4181
757	13038	4162
758	13051	4144
759	13065	4125
760	13079	4107
761	13092	4089
762	13106	4071
763	13120	4052
764	13133	4034
765	13147	4016
766	13160	3998
767	13174	3979
768	13188	3961
769	13201	3943
770	13216	3925
771	13229	3907
772	13242	3888
773	13257	3870
774	13271	3853
775	13285	3835
776	13299	3817
777	13314	3799
778	13327	3781
779	13340	3762
780	13353	3744
781	13366	3726
782	13380	3708
783	13393	3689
784	13406	3671
785	13419	3653
786	13431	3635
787	13444	3617
788	13457	3598
789	13472	3581
790	13485	3563
791	13498	3545
792	13514	3527
793	13527	3509
794	13543	3492
795	13556	3474
796	13570	3456
797	13583	3438
798	13596	3420
799	13611	3402
800	13625	3385
801	13638	3367
802	13652	3349
803	13666	3331
804	13680	3313
805	13694	3296
806	13708	3278
807	13721	3260
808	13735	3242
809	13749	3225
810	13762	3207
811	13776	3189
812	13790	3171
813	13804	3154
814	13822	3137
815	13837	3120
816	13851	3102
817	13865	3085
818	13879	3067
819	13892	3049
820	13906	3031
821	13920	3014
822	13934	2996
823	13948	2979
824	13961	2961
825	13974	2943
826	13987	2925
827	14001	2908
828	14014	2890
829	14027	2873
830	14040	2855
831	14055	2838
832	14069	2820
833	14083	2803
834	14097	2785
835	14110	2768
836	14124	2750
837	14138	2733
838	14151	2715
839	14164	2698
840	14178	2680
841	14191	2663
842	14205	2645
843	14219	2628
844	14232	2610
845	14245	2593
846	14260	2575
847	14274	2558
848	14288	2541
849	14300	2523
850	14314	2506
851	14328	2488
852	14341	2471
853	14355	2454
854	14368	2436
855	14382	2419
856	14396	2402
857	14414	2385
858	14429	2368
859	14442	2351
860	14455	2333
861	14470	2316
862	14483	2299
863	14497	2282
864	14512	2264
865	14525	2247
866	14539	2230
867	14552	2213
868	14566	2195
869	14581	2178
870	14594	2161
871	14608	2144
872	14621	2127
873	14635	2109
874	14648	2092
875	14661	2075
876	14676	2058
877	14692	2041
878	14707	2024
879	14721	2007
880	14733	1990
881	14748	1973
882	14761	1955
883	14774	1938
884	14788	1921
885	14801	1904
886	14816	1887
887	14830	1870
888	14843	1853
889	14856	1836
890	14870	1819
891	14883	1802
892	14896	1784
893	14910	1767
894	14923	1750
895	14936	1733
896	14949	1716
897	14963	1699
898	14976	1682
899	14989	1665
900	15004	1648
901	15017	1631
902	15031	1614
903	15044	1597
904	15057	1580
905	15070	1563
906	15084	1546
907	15097	1529
908	15115	1513
909	15129	1496
910	15142	1479
911	15157	1462
912	15170	1445
913	15184	1428
914	15197	1411
915	15211	1394
916	15225	1378
917	15238	1361
918	15252	1344
919	15265	1327
920	15280	1310
921	15293	1293
922	15307	1276
923	15322	1260
924	15337	1243
925	15350	1226
926	15363	1209
927	15378	1193
928	15391	1176
929	15404	1159
930	15417	1142
931	15429	1125
932	15442	1108
933	15459	1092
934	15473	1075
935	15486	1058
936	15499	1042
937	15513	1025
938	15528	1008
939	15542	992
940	15556	975
941	15569	958
942	15583	941
943	15596	925
944	15609	908
945	15622	891
946	15636	875
947	15649	858
948	15662	841
949	15676	825
950	15689	808
951	15703	791
952	15716	775
953	15729	758
954	15742	741
955	15755	725
956	15769	708
957	15782	691
958	15796	675
959	15810	658
960	15822	642
961	15839	625
962	15852	609
963	15865	592
964	15878	575
965	15892	559
966	15905	542
967	15918	526
968	15934	509
969	15947	493
970	15961	476
971	15975	460
972	15989	443
973	16002	427
974	16015	410
975	16029	394
976	16041	377
977	16054	361
978	16067	344
979	16081	328
980	16094	311
981	16107	295
982	16121	278
983	16135	262
984	16149	245
985	16163	229
