iter	MultiClass
0	1.516062742
1	1.445977645
2	1.389895844
3	1.343105498
4	1.299311671
5	1.267788677
6	1.236235987
7	1.20968953
8	1.185100026
9	1.161216967
10	1.13952014
11	1.12073159
12	1.105133048
13	1.091619551
14	1.077975864
15	1.065792668
16	1.055820023
17	1.047071914
18	1.037214814
19	1.028860827
20	1.021120086
21	1.012167104
22	1.00671189
23	0.9979597079
24	0.9915422371
25	0.9849974468
26	0.9786425936
27	0.9723900265
28	0.9679363948
29	0.9634577362
30	0.9581258342
31	0.9529181853
32	0.9474062522
33	0.9421266153
34	0.9381474939
35	0.9339865961
36	0.9303044436
37	0.9262717131
38	0.9212907182
39	0.9178910294
40	0.9151829834
41	0.911777575
42	0.9078992127
43	0.9048913859
44	0.9016201245
45	0.8993699256
46	0.8967858355
47	0.8939952965
48	0.89213976
49	0.8889618112
50	0.8867992219
51	0.8837532808
52	0.8817373445
53	0.8792530608
54	0.8777280242
55	0.8759317403
56	0.873305674
57	0.8712063869
58	0.8693279253
59	0.8674774161
60	0.8657289834
61	0.8631278007
62	0.8600475269
63	0.858452328
64	0.8563450705
65	0.854669831
66	0.8532200966
67	0.8513121746
68	0.8502245972
69	0.8480534879
70	0.8462688365
71	0.8444234311
72	0.8427678648
73	0.8414420843
74	0.8393576329
75	0.8380068067
76	0.8365423126
77	0.8343361768
78	0.833058479
79	0.8316320107
80	0.8301501465
81	0.8285715087
82	0.8262427869
83	0.8250049214
84	0.82359188
85	0.8223174767
86	0.8210172979
87	0.8196064113
88	0.8178321512
89	0.8158189686
90	0.8142775752
91	0.8123117889
92	0.811448043
93	0.8102707462
94	0.8093700606
95	0.8082173367
96	0.8067418341
97	0.8051580867
98	0.8040287371
99	0.802421464
100	0.8012333074
101	0.799771843
102	0.7986082948
103	0.797559838
104	0.796195
105	0.7946508498
106	0.7931189666
107	0.7913888291
108	0.790297474
109	0.7894574896
110	0.787585651
111	0.7859991896
112	0.7848791469
113	0.7837270563
114	0.7827048561
115	0.7813433301
116	0.7806006949
117	0.7789676277
118	0.7771871923
119	0.7761175548
120	0.7748833105
121	0.773285482
122	0.7722030117
123	0.7711426069
124	0.769753265
125	0.7684686605
126	0.767251848
127	0.7663690031
128	0.7658181276
129	0.7649294316
130	0.7629773044
131	0.7614297749
132	0.7603478997
133	0.7589342863
134	0.7576127558
135	0.7562031259
136	0.754987882
137	0.7538854147
138	0.7527708585
139	0.7520272204
140	0.7509995666
141	0.7497367798
142	0.7489522555
143	0.7480063621
144	0.7465897381
145	0.7455581767
146	0.7443856841
147	0.7430940266
148	0.7416234478
149	0.7401872943
150	0.7390779133
151	0.7376741677
152	0.737051505
153	0.7356653137
154	0.7350469032
155	0.733952896
156	0.7330327153
157	0.7317193294
158	0.7303904104
159	0.7290544138
160	0.7278059449
161	0.727046125
162	0.7263331946
163	0.7256212185
164	0.7251142367
165	0.7245296556
166	0.723515661
167	0.7224641118
168	0.7212911079
169	0.7205829818
170	0.7199171919
171	0.7187495328
172	0.7178018247
173	0.7169126521
174	0.7160343821
175	0.7154347226
176	0.7152369289
177	0.7147186802
178	0.7139625215
179	0.7125297
180	0.7119910322
181	0.7114528594
182	0.7102542602
183	0.70943077
184	0.7089497767
185	0.7081166909
186	0.7072383814
187	0.7060982167
188	0.7053569821
189	0.7042831631
190	0.7028918494
191	0.7019293604
192	0.7011886068
193	0.7002068005
194	0.6997283526
195	0.6984846975
196	0.6972459682
197	0.6962697725
198	0.6951908584
199	0.6947096306
200	0.6935103464
201	0.6922203525
202	0.6913617244
203	0.6908439353
204	0.6902482294
205	0.6894620435
206	0.6885691587
207	0.6877878914
208	0.68701921
209	0.6863036742
210	0.6852229074
211	0.6843154589
212	0.6828764181
213	0.6821854078
214	0.6812221083
215	0.6804283918
216	0.6799069664
217	0.6790901432
218	0.6784007425
219	0.6772834891
220	0.6761405386
221	0.6751960477
222	0.6746217041
223	0.6737304552
224	0.6729695288
225	0.6717108711
226	0.6707988941
227	0.6698924432
228	0.6689770774
229	0.6681561002
230	0.6675355573
231	0.6664548285
232	0.6660330723
233	0.665264664
234	0.6644857385
235	0.6634277288
236	0.6624050107
237	0.6613798778
238	0.6602078458
239	0.6592906551
240	0.6580821952
241	0.6573452155
242	0.6565062367
243	0.65588646
244	0.6552752832
245	0.6541365713
246	0.6534017298
247	0.6525494854
248	0.6521892588
249	0.6512801852
250	0.6500899774
251	0.6490849146
252	0.6483197402
253	0.6476069851
254	0.6467570646
255	0.6460290867
256	0.6452725511
257	0.6444562147
258	0.6437327441
259	0.6428418336
260	0.6422912656
261	0.641822557
262	0.6410880063
263	0.6407535622
264	0.639927782
265	0.6394179705
266	0.638742065
267	0.6379263533
268	0.6374418293
269	0.6365569576
270	0.6359820601
271	0.6353522229
272	0.6347751584
273	0.6341631282
274	0.63361152
275	0.6326520433
276	0.6321139342
277	0.6312997664
278	0.6305615901
279	0.6295241593
280	0.6288770511
281	0.6283065179
282	0.6278641521
283	0.6271021506
284	0.6264860735
285	0.625819593
286	0.6247018847
287	0.6240704997
288	0.6229482552
289	0.6224477861
290	0.6216632534
291	0.6210667074
292	0.620810897
293	0.6199088512
294	0.6191921294
295	0.6181003105
296	0.6176860745
297	0.6169252829
298	0.6157664913
299	0.6147144621
300	0.614122379
301	0.6135173756
302	0.6129120938
303	0.6123783887
304	0.6117324179
305	0.6109195854
306	0.6098225235
307	0.6093282155
308	0.6084704908
309	0.607800202
310	0.6068755898
311	0.6055481191
312	0.6044578059
313	0.6040373986
314	0.6033519708
315	0.602743783
316	0.6020628508
317	0.6014399349
318	0.6009075313
319	0.6001273953
